epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.0803,3.01914,8.82799,0.70542,6.00392,3.01518,0.05374,0.38462,0.04988,0.01267,0,0,0,0,2.90447,8.94609,0.69386,5.01714,2.92277,0.00022,0.00022,0.00022
2,140.956,1.9402,8.39749,0.70841,2.13028,1.97139,0.6163,0.30769,0.36765,0.11153,0,0,0,0,2.36471,8.71358,0.69872,3.24534,2.73322,0.000457723,0.000457723,0.000457723
3,200.067,1.66147,7.05882,0.74204,1.63178,1.76367,0.31721,0.4827,0.26098,0.07771,0,0,0,0,2.3705,8.54907,0.75903,2.04364,3.33617,0.00069307,0.00069307,0.00069307
4,259.104,1.47308,6.72302,0.79242,1.28011,1.57201,0.77095,0.65385,0.67091,0.23987,0,0,0,0,2.06737,7.90395,0.83066,1.55633,2.68682,0.000926041,0.000926041,0.000926041
5,318.008,1.51921,6.41232,0.8398,1.18978,1.59851,0.69175,0.88462,0.80218,0.33216,0,0,0,0,2.05963,8.00038,0.77113,1.22635,2.6377,0.00115664,0.00115664,0.00115664
6,374.856,1.51716,6.50002,0.81225,1.22004,1.7091,0.79198,0.80769,0.89991,0.51986,0.03566,0.03846,0.00271,0.00027,1.39667,7.25156,0.92775,1.02511,2.11807,0.00138485,0.00138485,0.00138485
7,436.021,1.3747,5.85628,0.84668,1.10153,1.47047,0.6886,0.80769,0.75436,0.38597,0,0,0,0,1.65725,7.39833,0.88721,1.83169,2.04737,0.0016107,0.0016107,0.0016107
8,494.181,1.51292,5.97096,0.83219,1.29765,1.60499,0.52431,0.67854,0.65593,0.3105,0.08072,0.03846,0.00694,0.00207,1.96169,7.26875,0.81958,1.63909,2.30717,0.00183416,0.00183416,0.00183416
9,557.139,1.42517,5.56975,0.80297,1.02053,1.5286,0.76661,0.57692,0.61595,0.31893,0.04054,0.11538,0.00724,0.00205,2.1625,6.77369,0.86048,1.52656,2.46981,0.0019208,0.0019208,0.0019208
10,622.997,1.42549,5.36419,0.78025,1.05882,1.66363,0.90574,0.57692,0.66964,0.36837,0.30515,0.15385,0.06971,0.01193,1.92838,6.32903,0.98772,1.85264,2.30283,0.0019109,0.0019109,0.0019109
11,719.53,1.37987,5.18094,0.78084,1.07562,1.50479,0.87977,0.76923,0.89293,0.51949,0.17748,0.07692,0.02157,0.00216,1.55068,6.53396,0.8419,1.11488,1.91252,0.001901,0.001901,0.001901
12,836.126,1.24508,5.05303,0.77844,0.95987,1.37189,0.95651,0.84585,0.95378,0.53946,0.17444,0.23077,0.08333,0.01259,1.69206,5.82524,0.88911,1.08431,2.02622,0.0018911,0.0018911,0.0018911
13,943.49,1.31315,4.88356,0.78948,0.9473,1.42507,0.95201,0.76322,0.92278,0.52913,0.53585,0.46154,0.37524,0.0751,1.48388,5.86175,0.84035,1.09521,1.90145,0.0018812,0.0018812,0.0018812
14,1052.06,1.15479,4.65929,0.74929,0.86623,1.33372,0.89175,0.73077,0.78254,0.40873,0.57725,0.42308,0.34216,0.08257,1.91594,6.08391,0.8432,1.47943,2.21038,0.0018713,0.0018713,0.0018713
15,1155.97,1.27451,4.71948,0.74303,0.94605,1.44616,0.8473,0.73077,0.74575,0.41374,0.75738,0.46154,0.45777,0.11073,1.79205,5.38431,0.82512,1.39889,2.27188,0.0018614,0.0018614,0.0018614
16,1259.42,1.13609,4.34111,0.75196,0.89038,1.31822,0.79784,0.76923,0.77938,0.432,0.56976,0.45854,0.36409,0.07684,1.68204,5.25475,0.81994,1.34837,2.01387,0.0018515,0.0018515,0.0018515
17,1374.21,1.11946,4.07329,0.73845,0.88694,1.34086,0.86627,0.99668,0.96951,0.67316,0.8324,0.76427,0.74406,0.32217,1.15499,3.48379,0.84588,0.96314,1.83092,0.0018416,0.0018416,0.0018416
18,1481.13,1.1725,4.13788,0.73209,0.85455,1.3812,0.95789,0.8753,0.96834,0.66967,0.83166,0.76034,0.79704,0.27878,1.09598,3.61045,0.83734,0.85181,1.69166,0.0018317,0.0018317,0.0018317
19,1582.23,1.22164,3.55721,0.72528,0.81873,1.41797,0.86714,0.73077,0.88772,0.54728,0.763,0.76923,0.77526,0.36583,1.437,3.85226,0.71936,1.23264,1.86117,0.0018218,0.0018218,0.0018218
20,1684.39,1.14695,3.67881,0.69612,0.80931,1.36798,0.83153,0.75964,0.84985,0.47682,0.83153,0.75964,0.77629,0.37296,1.48711,4.0635,0.67459,1.30237,1.95641,0.0018119,0.0018119,0.0018119
21,1786.4,1.10393,3.69758,0.68032,0.79896,1.38888,0.84705,0.69231,0.8197,0.47539,0.87161,0.57692,0.60604,0.27991,1.63562,4.76085,0.61413,1.60282,2.02917,0.001802,0.001802,0.001802
22,1888.03,1.22019,3.39533,0.67857,0.82797,1.33366,0.89357,0.73077,0.81771,0.48139,0.79904,0.65385,0.65519,0.28893,1.55669,4.15078,0.61289,1.30666,1.85792,0.0017921,0.0017921,0.0017921
23,1996.27,1.11791,3.29527,0.67601,0.77943,1.33828,0.95639,0.84615,0.88942,0.54202,0.91014,0.80769,0.80412,0.39606,1.35589,3.35278,0.5897,0.98387,1.60363,0.0017822,0.0017822,0.0017822
24,2101.38,1.07974,3.26474,0.65654,0.77803,1.29217,0.9003,0.88462,0.92794,0.63852,0.86048,0.84615,0.8378,0.45415,1.19518,3.13714,0.54989,0.88178,1.45708,0.0017723,0.0017723,0.0017723
25,2205.1,1.14575,3.25685,0.65002,0.89117,1.29325,0.92421,1,0.96907,0.72292,0.78157,0.84615,0.79206,0.4467,1.02866,2.34077,0.52204,0.69786,1.35467,0.0017624,0.0017624,0.0017624
26,2308.77,1.13074,2.73682,0.63739,0.78943,1.30021,0.95168,1,0.97537,0.74686,0.81248,0.84615,0.76217,0.38086,1.05033,2.55062,0.51461,0.7117,1.39224,0.0017525,0.0017525,0.0017525
27,2408.78,1.00344,3.27934,0.61742,0.71241,1.27001,0.95475,0.92308,0.94993,0.66119,0.83225,0.80769,0.7077,0.4084,1.15032,2.65194,0.4978,0.8093,1.52611,0.0017426,0.0017426,0.0017426
28,2517.67,1.05719,2.98024,0.61322,0.77057,1.27788,0.92231,0.92308,0.94659,0.62552,0.80093,0.80769,0.7202,0.39393,1.28962,2.5405,0.48721,0.90533,1.59385,0.0017327,0.0017327,0.0017327
29,2621.6,1.02949,2.85325,0.59591,0.73796,1.25839,0.9184,0.73077,0.83775,0.5589,0.86484,0.69231,0.74306,0.32804,1.41364,3.77217,0.49538,1.14903,1.66768,0.0017228,0.0017228,0.0017228
30,2721.11,0.9833,2.94807,0.61866,0.6798,1.17725,0.79711,0.76923,0.73773,0.50587,0.81117,0.66115,0.68862,0.29731,1.37636,4.04742,0.50037,1.32286,1.66675,0.0017129,0.0017129,0.0017129
31,2820.31,1.05055,2.78212,0.5918,0.74505,1.25569,0.94728,0.84615,0.92065,0.63166,0.90317,0.80769,0.84666,0.46724,1.10048,2.52905,0.44304,0.84167,1.45577,0.001703,0.001703,0.001703
32,2919.59,1.0211,2.7308,0.60666,0.72183,1.28612,0.93166,0.92308,0.95552,0.64552,0.90321,0.80769,0.88265,0.52976,1.09963,2.37371,0.42115,0.7382,1.4285,0.0016931,0.0016931,0.0016931
33,3019.3,1.00784,2.60781,0.59771,0.73358,1.25187,0.95984,0.91943,0.9446,0.64675,0.87996,0.84587,0.83109,0.51492,1.10288,2.28387,0.40192,0.79307,1.48335,0.0016832,0.0016832,0.0016832
34,3130.99,1.06318,2.44742,0.5871,0.72485,1.28301,0.95705,0.92308,0.94519,0.68685,0.95705,0.92308,0.92005,0.54278,1.0246,2.17403,0.40073,0.74512,1.42278,0.0016733,0.0016733,0.0016733
35,3236.97,1.02668,2.42859,0.55599,0.73994,1.24669,0.95475,0.92308,0.94123,0.68983,0.91475,0.88462,0.85949,0.51041,1.00135,2.30631,0.41238,0.79932,1.38436,0.0016634,0.0016634,0.0016634
36,3337.56,0.94622,2.29414,0.56667,0.72657,1.20824,0.95445,0.92308,0.94815,0.71224,0.9143,0.88462,0.88341,0.48078,1.00927,2.32396,0.41476,0.81176,1.37139,0.0016535,0.0016535,0.0016535
37,3438.55,1.02885,2.73702,0.60491,0.75379,1.26252,0.92211,0.91103,0.96075,0.62943,0.76738,0.76152,0.74273,0.32378,1.3427,2.87005,0.38641,0.81661,1.50095,0.0016436,0.0016436,0.0016436
38,3544.05,1.02771,2.60559,0.57376,0.74972,1.25434,0.89162,0.94951,0.97169,0.65105,0.71112,0.75772,0.69296,0.3361,1.31758,2.86393,0.38657,0.8233,1.50184,0.0016337,0.0016337,0.0016337
39,3645.71,1.01724,2.52001,0.55055,0.72746,1.27923,0.91327,0.92308,0.95705,0.70537,0.91327,0.92308,0.94317,0.59202,1.03246,1.91984,0.37984,0.76697,1.45003,0.0016238,0.0016238,0.0016238
40,3750.12,1.03474,2.54306,0.57881,0.69163,1.26172,0.95897,0.92308,0.93358,0.69835,0.83685,0.80769,0.80874,0.56193,1.06082,2.1905,0.37334,0.87599,1.39192,0.0016139,0.0016139,0.0016139
41,3850.3,1.03613,2.2169,0.56729,0.72071,1.26346,0.95973,0.91694,0.91487,0.64551,0.91947,0.87848,0.89261,0.58739,1.10294,2.52086,0.38614,1.01198,1.43907,0.001604,0.001604,0.001604
42,3949.26,1.04563,2.10622,0.57457,0.73013,1.28593,0.95995,0.92185,0.91846,0.65239,0.91993,0.88381,0.90383,0.59511,1.08535,2.47172,0.3757,0.93655,1.47706,0.0015941,0.0015941,0.0015941
43,4056.41,0.93266,2.30267,0.56455,0.67886,1.18949,0.82473,0.92308,0.9111,0.62659,0.93998,0.60283,0.75166,0.4915,1.2178,3.09309,0.38094,0.95534,1.52908,0.0015842,0.0015842,0.0015842
44,4157.22,0.96315,2.52227,0.57108,0.72804,1.25063,0.95798,0.87713,0.93268,0.6179,0.79003,0.72383,0.71134,0.46421,1.28403,2.88855,0.37136,0.91967,1.60066,0.0015743,0.0015743,0.0015743
45,4260.03,0.94919,2.03603,0.5489,0.6804,1.19542,0.91304,0.88462,0.91953,0.6199,0.87314,0.84615,0.86625,0.55011,1.14606,2.21986,0.35643,0.89358,1.53543,0.0015644,0.0015644,0.0015644
46,4365.57,0.97548,2.03227,0.53455,0.66868,1.16916,0.87804,0.88462,0.90808,0.60734,0.80102,0.80769,0.76001,0.53545,1.12888,2.21754,0.36959,0.87481,1.49502,0.0015545,0.0015545,0.0015545
47,4464.8,0.93542,2.21992,0.54393,0.66272,1.2009,0.95805,0.87866,0.9228,0.65801,0.91624,0.84158,0.85393,0.59707,1.08553,2.08505,0.36437,0.87343,1.4193,0.0015446,0.0015446,0.0015446
48,4565.74,1.00885,2.10391,0.53983,0.66972,1.18756,0.9496,0.92308,0.92996,0.67409,0.90981,0.88462,0.88833,0.61264,1.07584,2.02025,0.36462,0.8033,1.39334,0.0015347,0.0015347,0.0015347
49,4668.76,1.026,2.25386,0.55325,0.72056,1.26633,0.95981,0.91877,0.95278,0.69985,0.91968,0.88092,0.91723,0.6285,1.03015,2.06153,0.37623,0.77364,1.32765,0.0015248,0.0015248,0.0015248
50,4770.32,0.9497,2.31509,0.54921,0.6742,1.18872,0.92936,0.88462,0.95331,0.70504,0.95812,0.88015,0.92696,0.58224,0.94362,2.10741,0.38854,0.76336,1.2953,0.0015149,0.0015149,0.0015149
51,4870.18,0.9159,2.1145,0.52629,0.63792,1.19159,0.92116,0.92308,0.96234,0.69583,0.94025,0.84615,0.94228,0.62497,1.11326,1.7846,0.3694,0.7509,1.50811,0.001505,0.001505,0.001505
52,4981.79,0.9224,2.0326,0.53698,0.64148,1.13306,0.86617,0.99581,0.97134,0.7324,0.94776,0.88462,0.9471,0.59869,1.01697,1.65303,0.35771,0.70476,1.39051,0.0014951,0.0014951,0.0014951
53,5065.04,0.92544,2.12164,0.54835,0.63978,1.21949,0.95287,0.92308,0.97428,0.69447,0.95287,0.92308,0.9541,0.57206,1.04076,1.80137,0.34689,0.6926,1.41872,0.0014852,0.0014852,0.0014852
54,5126.37,0.93494,1.94028,0.52462,0.65002,1.18034,0.95992,0.92125,0.97291,0.67738,0.95992,0.92125,0.94823,0.56131,1.02091,1.85078,0.34756,0.6881,1.36421,0.0014753,0.0014753,0.0014753
55,5178.97,0.9707,1.87764,0.53295,0.63614,1.22709,0.94129,0.88462,0.95986,0.64195,0.94129,0.88462,0.94154,0.60815,1.01165,1.74086,0.34326,0.75813,1.34099,0.0014654,0.0014654,0.0014654
56,5232.31,1.02732,2.17479,0.56168,0.662,1.21769,0.91902,0.92308,0.96764,0.69688,0.88035,0.88462,0.92624,0.58884,1.02255,1.70728,0.34189,0.73576,1.37067,0.0014555,0.0014555,0.0014555
57,5284.9,0.9419,1.77455,0.53301,0.64214,1.22656,0.92205,0.91025,0.96125,0.70143,0.92205,0.91025,0.9394,0.62997,0.99458,1.73442,0.355,0.73267,1.33863,0.0014456,0.0014456,0.0014456
58,5338.23,0.84097,1.97478,0.52448,0.61231,1.16768,0.95972,0.91665,0.95931,0.68623,0.95972,0.91665,0.9281,0.58502,1.08161,1.96402,0.37223,0.80595,1.4129,0.0014357,0.0014357,0.0014357
59,5391.38,0.89076,1.98894,0.54642,0.66109,1.20112,0.95387,0.92308,0.97466,0.72083,0.95387,0.92308,0.92381,0.51232,1.04966,2.01759,0.38678,0.67961,1.39372,0.0014258,0.0014258,0.0014258
60,5445.45,0.88176,1.94042,0.51936,0.62038,1.16018,0.92572,0.95874,0.98007,0.72745,0.92572,0.95874,0.98007,0.52933,1.03606,1.9739,0.38309,0.61856,1.37407,0.0014159,0.0014159,0.0014159
61,5500.09,0.91217,1.8362,0.49798,0.59892,1.20602,0.92576,0.95925,0.97915,0.71605,0.92576,0.95925,0.96445,0.65377,1.02008,1.76492,0.3717,0.68093,1.30872,0.001406,0.001406,0.001406
62,5554.34,0.94202,2.09149,0.52796,0.65503,1.20076,0.917,0.92308,0.9743,0.72569,0.87879,0.88462,0.95406,0.62909,1.00297,1.82495,0.37062,0.67647,1.28729,0.0013961,0.0013961,0.0013961
63,5608.9,0.9048,2.06805,0.52107,0.64092,1.16067,0.95634,0.92308,0.96058,0.69622,0.91638,0.88462,0.86559,0.58055,0.98306,1.88666,0.38153,0.78213,1.29499,0.0013862,0.0013862,0.0013862
64,5664.28,0.94631,1.88655,0.49483,0.63871,1.15316,0.95259,0.92308,0.95504,0.68906,0.91248,0.88462,0.85411,0.60021,0.98145,1.84803,0.38601,0.7652,1.33645,0.0013763,0.0013763,0.0013763
